LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE146 CHALCOACCESORIOSLIMPIEZA,BOUTIQUE,146 CHALCO,ACCESORIOS,LIMPIEZA,36,4962.05,1564.12
BOUTIQUE106 CONDESAACCESORIOSLLAVERO,BOUTIQUE,106 CONDESA,ACCESORIOS,LLAVERO,41,1317.14,429.6
BOUTIQUE168 CENTRO SAN MIGUELROPASUDADERA,BOUTIQUE,168 CENTRO SAN MIGUEL,ROPA,SUDADERA,107,57789.52,24832.5
BOUTIQUE104 CENTROACCESORIOSPERFUME,BOUTIQUE,104 CENTRO,ACCESORIOS,PERFUME,52,5431.12,1820
BOUTIQUE168 CENTRO SAN MIGUELROPACHAMARRA,BOUTIQUE,168 CENTRO SAN MIGUEL,ROPA,CHAMARRA,41,19585.34,11528
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSPERFUME,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,PERFUME,107,11243.27,3745
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSCALCETINES,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,CALCETINES,15,1061.06,445
BOUTIQUE104 CENTROROPAPLAYERA,BOUTIQUE,104 CENTRO,ROPA,PLAYERA,39,10560.46,4649
BOUTIQUE147 SAN COSMEACCESORIOSLLAVERO,BOUTIQUE,147 SAN COSME,ACCESORIOS,LLAVERO,28,874.93,282.3
BOUTIQUE104 CENTROACCESORIOSMOCHILA,BOUTIQUE,104 CENTRO,ACCESORIOS,MOCHILA,8,5310.32,1880
BOUTIQUE146 CHALCOACCESORIOSLLAVERO,BOUTIQUE,146 CHALCO,ACCESORIOS,LLAVERO,30,946.48,300.3
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSLLAVERO,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,LLAVERO,47,1483.51,483.6
BOUTIQUE171 TLALNEPANTLA CENTROROPAPLAYERA,BOUTIQUE,171 TLALNEPANTLA CENTRO,ROPA,PLAYERA,185,31900.7,20809
BOUTIQUE154 METROBUS CHILPANCINGOACCESORIOSLIMPIEZA,BOUTIQUE,154 METROBUS CHILPANCINGO,ACCESORIOS,LIMPIEZA,4,474.14,147.05
BOUTIQUE115 LA VILLAROPASUDADERA,BOUTIQUE,115 LA VILLA,ROPA,SUDADERA,43,22493.22,9926.5
BOUTIQUE153 GRAND PLAZA TOLUCAACCESORIOSPERFUME,BOUTIQUE,153 GRAND PLAZA TOLUCA,ACCESORIOS,PERFUME,16,1655.2,560
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSCALCETINES,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,CALCETINES,17,1375.21,355
BOUTIQUE128 TEXCOCOACCESORIOSPERFUME,BOUTIQUE,128 TEXCOCO,ACCESORIOS,PERFUME,70,7362.18,2450
BOUTIQUE104 CENTROACCESORIOSLIMPIEZA,BOUTIQUE,104 CENTRO,ACCESORIOS,LIMPIEZA,17,2439.67,759.85
BOUTIQUE106 CONDESAROPASUDADERA,BOUTIQUE,106 CONDESA,ROPA,SUDADERA,76,42319.85,17560
BOUTIQUE128 TEXCOCOACCESORIOSLIMPIEZA,BOUTIQUE,128 TEXCOCO,ACCESORIOS,LIMPIEZA,22,3031.03,975.06
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSLLAVERO,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,LLAVERO,34,1025.78,306
BOUTIQUE154 METROBUS CHILPANCINGOROPAPLAYERA,BOUTIQUE,154 METROBUS CHILPANCINGO,ROPA,PLAYERA,20,2061.04,2091
BOUTIQUE104 CENTROACCESORIOSLLAVERO,BOUTIQUE,104 CENTRO,ACCESORIOS,LLAVERO,14,461.17,156.3
BOUTIQUE144 5 DE MAYOROPACHAMARRA,BOUTIQUE,144 5 DE MAYO,ROPA,CHAMARRA,35,18533.6,9583.62
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSCALCETINES,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,CALCETINES,8,691.4,155
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSCALCETINES,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,CALCETINES,5,463.8,180
BOUTIQUE154 METROBUS CHILPANCINGOACCESORIOSPERFUME,BOUTIQUE,154 METROBUS CHILPANCINGO,ACCESORIOS,PERFUME,16,1655.2,560
BOUTIQUE115 LA VILLAACCESORIOSLLAVERO,BOUTIQUE,115 LA VILLA,ACCESORIOS,LLAVERO,23,762.87,247.4
BOUTIQUE154 METROBUS CHILPANCINGOACCESORIOSPLANTILLA,BOUTIQUE,154 METROBUS CHILPANCINGO,ACCESORIOS,PLANTILLA,5,215.5,71
BOUTIQUE144 5 DE MAYOACCESORIOSBOLSA,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,BOLSA,243,9790.5,5700
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSLLAVERO,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,LLAVERO,24,718.05,216
BOUTIQUE115 LA VILLAACCESORIOSPLANTILLA,BOUTIQUE,115 LA VILLA,ACCESORIOS,PLANTILLA,31,1320.16,440.2
BOUTIQUE114 INSURGENTESROPASUDADERA,BOUTIQUE,114 INSURGENTES,ROPA,SUDADERA,43,25823.34,10682.5
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSMOCHILA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,MOCHILA,18,11569.86,4174
